Discount,Sales,Profit,Avg_Profit
0.0,1087908.47,320987.6032,66.90029245518967
0.1,54369.351,9029.177,96.05507446808511
0.15,27558.5215,1418.9915,27.288298076923077
0.2,764594.368,90337.306,24.702572053595844
0.3,103226.655,-10369.277399999999,-45.67963612334801
0.32,14493.4588,-2391.1376999999998,-88.56065555555554
0.4,116417.784,-23057.0504,-111.9274291262136
0.45,5484.974,-2493.1111,-226.64646363636365
0.5,58918.54,-20506.4281,-310.7034560606061
0.6,6644.7,-5944.6552,-43.0772115942029
0.7,40620.282,-40075.3569,-95.87405956937799
0.8,16963.756,-30539.0392,-101.79679733333333
